,R. salebrosus,descriptions
PF20413,1,Kiaa1109 N-terminal region
PF06658,1,Protein of unknown function (DUF1168)
PF15249,1,Conserved region of unknown function on GLTSCR protein
PF04049,1,Anaphase promoting complex subunit 8 / Cdc23
PF06012,1,Domain of Unknown Function (DUF908)
PF06025,1,Domain of Unknown Function (DUF913)
PF14377,1,Ubiquitin binding region
PF02229,1,Transcriptional Coactivator p15 (PC4)
PF04139,1,Rad9
PF04434,1,SWIM zinc finger
PF01170,1,Putative RNA methylase family UPF0020
PF07544,1,RNA polymerase II transcription mediator complex subunit 9
PF10341,1,"Shelterin complex subunit, TPP1/ACD"
PF03850,1,Transcription factor Tfb4
PF11496,1,Class II histone deacetylase complex subunits 2 and 3
PF13907,1,Domain of unknown function (DUF4208)
PF18196,1,Chromodomain helicase DNA-binding domain 1
PF11708,1,Pre-mRNA splicing Prp18-interacting factor
PF09468,1,Ydr279p protein family (RNase H2 complex component) wHTH domain
PF17745,1,Ydr279p protein triple barrel domain
PF01747,1,ATP-sulfurylase
PF14306,1,PUA-like domain
PF03972,1,MmgE/PrpD N-terminal domain
PF19305,1,MmgE/PrpD C-terminal domain
PF01658,1,Myo-inositol-1-phosphate synthase
PF07994,1,Myo-inositol-1-phosphate synthase
PF04137,1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF12550,1,Transcriptional activator of glycolytic enzymes
PF08321,1,PPP5 TPR repeat region
PF01226,1,Formate/nitrite transporter
PF11326,1,Protein of unknown function (DUF3128)
PF12619,1,Mini-chromosome maintenance protein 2
PF06747,1,CHCH domain
PF09724,1,Sister chromatid cohesion protein Dcc1
PF03051,1,Peptidase C1-like family
PF00762,1,Ferrochelatase
PF12051,1,Protein of unknown function (DUF3533)
PF01250,1,Ribosomal protein S6
PF04059,1,RNA recognition motif 2
PF04050,1,Up-frameshift suppressor 2
PF00567,1,Tudor domain
PF12409,1,P5-type ATPase cation transporter
PF14976,1,FAM72 protein
PF08640,1,U3 small nucleolar RNA-associated protein 6
PF01238,1,Phosphomannose isomerase type I C-terminal
PF02089,1,Palmitoyl protein thioesterase
PF01773,1,Na+ dependent nucleoside transporter N-terminus
PF07662,1,Na+ dependent nucleoside transporter C-terminus
PF02100,1,Ornithine decarboxylase antizyme
PF07896,1,Protein of unknown function (DUF1674)
PF06148,1,"COG (conserved oligomeric Golgi) complex component, COG2"
PF12022,1,"COG complex component, COG2, C-terminal"
PF12816,1,Golgi CORVET complex core vacuolar protein 8
PF00585,1,C-terminal regulatory domain of Threonine dehydratase
PF01028,1,"Eukaryotic DNA topoisomerase I, catalytic core"
PF02919,1,"Eukaryotic DNA topoisomerase I, DNA binding fragment"
PF14370,1,C-terminal topoisomerase domain
PF01148,1,Cytidylyltransferase family
PF02990,1,Endomembrane protein 70
PF08147,1,DBP10CT (NUC160) domain
PF08651,1,DASH complex subunit Duo1
PF02099,1,Josephin
PF16242,1,Pyridoxamine 5'-phosphate oxidase like
PF08743,1,Nse4 C-terminal
PF15412,1,Binding domain of Nse4/EID3 to Nse3-MAGE
PF03663,1,Glycosyl hydrolase family 76
PF11718,1,Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
PF13483,1,Beta-lactamase superfamily domain
PF12341,1,"Minichromosome loss protein, Mcl1, middle region"
PF17875,1,RPA43 OB domain in RNA Pol I
PF09649,1,Histone chaperone domain CHZ
PF08118,1,Yeast mitochondrial distribution and morphology (MDM) proteins
PF10390,1,RNA polymerase II elongation factor ELL
PF04100,1,"Vps53-like, N-terminal"
PF01329,1,Pterin 4 alpha carbinolamine dehydratase
PF10159,1,Multiple myeloma tumor-associated
PF04136,1,Sec34-like family
PF09807,1,Elongation complex protein 6
PF13507,1,CobB/CobQ-like glutamine amidotransferase domain
PF18072,1,Formylglycinamide ribonucleotide amidotransferase linker domain
PF18076,1,Formylglycinamide ribonucleotide amidotransferase N-terminal
PF11831,1,pre-mRNA splicing factor component
PF20428,1,Sey1 three-helix bundle domain
PF03097,1,BRO1-like domain
PF06862,1,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
PF13917,1,Zinc knuckle
PF02566,1,OsmC-like protein
PF04420,1,CHD5-like protein
PF00832,1,Ribosomal L39 protein
PF06047,1,NF-kappa-B-activating protein C-terminal domain
PF03847,1,Transcription initiation factor TFIID subunit A
PF01195,1,Peptidyl-tRNA hydrolase
PF06858,1,Nucleolar GTP-binding protein 1 (NOG1)
PF08155,1,NOGCT (NUC087) domain
PF17835,1,NOG1 N-terminal helical domain
PF16188,1,C-terminal region of peptidase_M24
PF16122,1,40S ribosomal protein SA C-terminus
PF00903,1,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF04573,1,Signal peptidase subunit
PF17034,1,Zinc-ribbon like family
PF09296,1,NADH pyrophosphatase-like rudimentary NUDIX domain
PF02184,1,HAT (Half-A-TPR) repeat
PF09273,1,Rubisco LSMT substrate-binding
PF01406,1,tRNA synthetases class I (C) catalytic domain
PF09190,1,DALR domain
PF12955,1,Domain of unknown function (DUF3844)
PF08790,1,LYAR-type C2HC zinc finger
PF00141,1,Peroxidase
PF06588,1,Muskelin N-terminus
PF18376,1,Mevalonate 5-diphosphate decarboxylase C-terminal domain
PF10236,1,Mitochondrial ribosomal death-associated protein 3
PF01247,1,Ribosomal protein L35Ae
PF01960,1,ArgJ family
PF09365,1,Conserved hypothetical protein (DUF2461)
PF01907,1,Ribosomal protein L37e
PF10190,1,Putative transmembrane protein 170
PF14214,1,Helitron helicase-like domain at N-terminus
PF01670,1,Glycosyl hydrolase family 12
PF06330,1,Trichodiene synthase (TRI5)
PF12246,1,Temperature dependent protein affecting M2 dsRNA replication
PF12247,1,Temperature dependent protein affecting M2 dsRNA replication
PF09435,1,Fungal protein of unknown function (DUF2015)
PF01393,1,Chromo shadow domain
PF14382,1,Exosome complex exonuclease RRP4 N-terminal region
PF00764,1,Arginosuccinate synthase
PF01885,1,"RNA 2'-phosphotransferase, Tpt1 / KptA family"
PF09949,1,"Phosphatidate phosphatase APP1, catalytic domain"
PF04063,1,Domain of unknown function (DUF383)
PF04064,1,Domain of unknown function (DUF384)
PF12090,1,Spt20 family
PF01808,1,AICARFT/IMPCHase bienzyme
PF13023,1,HD domain
PF14474,1,RTC4-like domain
PF08996,1,DNA Polymerase alpha zinc finger
PF12254,1,DNA polymerase alpha subunit p180 N terminal
PF05180,1,DNL zinc finger
PF08552,1,Inositolphosphorylceramide synthase subunit Kei1
PF07575,1,Nup85 Nucleoporin
PF08920,1,Splicing factor 3B subunit 1
PF08326,1,"Acetyl-CoA carboxylase, central region"
PF01221,1,Dynein light chain type 1
PF05345,1,Putative Ig domain
PF01180,1,Dihydroorotate dehydrogenase
PF03915,1,Actin interacting protein 3
PF00926,1,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
PF03980,1,Nnf1
PF09414,1,RNA ligase
PF11176,1,Translation machinery-associated protein 16
PF12554,1,Mitotic-spindle organizing gamma-tubulin ring associated
PF08632,1,Activator of mitotic machinery Cdc14 phosphatase activation C-term
PF06202,1,"Amylo-alpha-1,6-glucosidase"
PF14699,1,N-terminal domain from the human glycogen debranching enzyme
PF14701,1,"Glycogen debranching enzyme, glucanotransferase domain"
PF14702,1,Central domain of human glycogen debranching enzyme
PF09770,1,Topoisomerase II-associated protein PAT1
PF03985,1,Paf1
PF16114,1,ATP citrate lyase citrate-binding
PF00900,1,Ribosomal family S4e
PF08071,1,RS4NT (NUC023) domain
PF16121,1,40S ribosomal protein S4 C-terminus
PF07522,1,DNA repair metallo-beta-lactamase
PF03660,1,PHF5-like protein
PF10018,1,Vitamin-D-receptor interacting Mediator subunit 4
PF03647,1,Transmembrane proteins 14C
PF12718,1,Tropomyosin like
PF10303,1,Protein of unknown function (DUF2408)
PF00306,1,"ATP synthase alpha/beta chain, C terminal domain"
PF00829,1,Ribosomal prokaryotic L21 protein
PF12460,1,RNAPII transcription regulator C-terminal
PF14500,1,Dos2-interacting transcription regulator of RNA-Pol-II
PF01641,1,SelR domain
PF05172,1,Nup53/35/40-type RNA recognition motif
PF00625,1,Guanylate kinase
PF04078,1,"Cell differentiation family, Rcd1-like"
PF03367,1,ZPR1 zinc-finger domain
PF04874,1,Mak16 protein C-terminal region
PF09462,1,Mus7/MMS22 family
PF04194,1,"Programmed cell death protein 2, C-terminal putative domain"
PF01394,1,Clathrin propeller repeat
PF09268,1,"Clathrin, heavy-chain linker"
PF13838,1,Clathrin-H-link
PF08164,1,"Apoptosis-antagonizing transcription factor, C-terminal"
PF13339,1,Apoptosis antagonizing transcription factor
PF02655,1,ATP-grasp domain
PF02436,1,Conserved carboxylase domain
PF07576,1,BRCA1-associated protein 2
PF09759,1,Spinocerebellar ataxia type 10 protein domain
PF04004,1,Leo1-like protein
PF05786,1,Condensin complex subunit 2
PF14260,1,C4-type zinc-finger of DNA polymerase delta
PF03332,1,Eukaryotic phosphomannomutase
PF08282,1,haloacid dehalogenase-like hydrolase
PF18826,1,Bacteroidetes VLRF1 release factor
PF13243,1,Squalene-hopene cyclase C-terminal domain
PF13249,1,Squalene-hopene cyclase N-terminal domain
PF02167,1,Cytochrome C1 family
PF08375,1,Proteasome regulatory subunit C-terminal
PF12767,1,"Transcriptional regulator of RNA polII, SAGA, subunit"
PF03540,1,Transcription initiation factor TFIID 23-30kDa subunit
PF19031,1,"First Longin domain of INTU, CCZ1 and HPS4"
PF06337,1,DUSP domain
PF02733,1,Dak1 domain
PF02734,1,DAK2 domain
PF05132,1,RNA polymerase III RPC4
PF11935,1,Symplekin/PTA1 N-terminal
PF12295,1,Symplekin tight junction protein C terminal
PF03179,1,Vacuolar (H+)-ATPase G subunit
PF14852,1,Fis1 N-terminal tetratricopeptide repeat
PF14853,1,Fis1 C-terminal tetratricopeptide repeat
PF17120,1,RING/Ubox like zinc-binding domain
PF04280,1,Tim44-like domain
PF01265,1,Cytochrome c/c1 heme lyase
PF08771,1,FKBP12-rapamycin binding domain
PF11865,1,Domain of unknown function (DUF3385)
PF04727,1,ELMO/CED-12 family
PF16457,1,Pleckstrin homology domain
PF11640,1,Telomere-length maintenance and DNA damage repair
PF05970,1,PIF1-like helicase
PF00458,1,WHEP-TRS domain
PF04733,1,Coatomer epsilon subunit
PF07426,1,Dynactin subunit p22
PF19566,1,Sorting nexin 8/Mvp1 BAR domain
PF15786,1,"PET assembly of cytochrome c oxidase, mitochondrial"
PF07744,1,SPOC domain
PF11989,1,Retrograde transport protein Dsl1 C terminal
PF10270,1,Membrane magnesium transporter
PF02897,1,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
PF10383,1,Transcription-silencing protein Clr2
PF16761,1,"Transcription-silencing protein, cryptic loci regulator Clr2"
PF07938,1,Fungal fucose-specific lectin
PF19270,1,F-box only protein C-terminal region
PF09320,1,Domain of unknown function (DUF1977)
PF08783,1,DWNN domain
PF10235,1,Microtubule-associated protein CRIPT
PF10273,1,Pre-rRNA-processing protein TSR2
PF05871,1,ESCRT-II complex subunit
PF02878,1,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
PF01256,1,Carbohydrate kinase
PF18151,1,Domain of unknown function (DUF5601)
PF08584,1,Ribonuclease P 40kDa (Rpp40) subunit
PF02569,1,Pantoate-beta-alanine ligase
PF01154,1,Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF08540,1,Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF11559,1,Afadin- and alpha -actinin-Binding
PF04081,1,"DNA polymerase delta, subunit 4"
PF13831,1,PHD-finger
PF02516,1,Oligosaccharyl transferase STT3 subunit
PF08615,1,Ribonuclease H2 non-catalytic subunit (Ylr154p-like)
PF05405,1,Mitochondrial ATP synthase B chain precursor (ATP-synt_B)
PF00930,1,Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF02129,1,X-Pro dipeptidyl-peptidase (S15 family)
PF07713,1,Protein of unknown function (DUF1604)
PF03982,1,Diacylglycerol acyltransferase
PF02359,1,"Cell division protein 48 (CDC48), N-terminal domain"
PF04935,1,Surfeit locus protein 6
PF15459,1,60S ribosome biogenesis protein Rrp14
PF08292,1,RNA polymerase III subunit Rpc25
PF08953,1,Domain of unknown function (DUF1899)
PF16300,1,Type of WD40 repeat
PF09445,1,RNA cap guanine-N2 methyltransferase
PF15901,1,"Sortilin, neurotensin receptor 3, C-terminal"
PF15902,1,"Sortilin, neurotensin receptor 3,"
PF08211,1,Cytidine and deoxycytidylate deaminase zinc-binding region
PF07106,1,TBPIP/Hop2 winged helix domain
PF17846,1,Xrn1 helical domain
PF18129,1,Xrn1 SH3-like domain
PF18194,1,Exoribonuclease 1 Domain-3
PF18332,1,Exoribonuclease Xrn1 D1 domain
PF18334,1,Exoribonuclease Xrn1 D2/D3 domain
PF00958,1,GMP synthase C terminal domain
PF09507,1,DNA polymerase subunit Cdc27
PF04303,1,PrpF protein
PF05362,1,Lon protease (S16) C-terminal proteolytic domain
PF13541,1,Subunit ChlI of Mg-chelatase
PF13911,1,AhpC/TSA antioxidant enzyme
PF04146,1,YT521-B-like domain
PF14566,1,Inositol hexakisphosphate
PF01115,1,"F-actin capping protein, beta subunit"
PF02926,1,THUMP domain
PF00255,1,Glutathione peroxidase
PF12009,1,Telomerase ribonucleoprotein complex - RNA binding domain
PF01940,1,Integral membrane protein DUF92
PF06682,1,SOCE-associated regulatory factor of calcium homoeostasis
PF09736,1,Pre-mRNA-splicing factor of RES complex
PF00580,1,UvrD/REP helicase N-terminal domain
PF13361,1,UvrD-like helicase C-terminal domain
PF13538,1,UvrD-like helicase C-terminal domain
PF06094,1,"Gamma-glutamyl cyclotransferase, AIG2-like"
PF00485,1,Phosphoribulokinase / Uridine kinase family
PF01215,1,Cytochrome c oxidase subunit Vb
PF16131,1,Torus domain
PF05019,1,Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF00034,1,Cytochrome c
PF13442,1,"Cytochrome C oxidase, cbb3-type, subunit III"
PF04045,1,"Arp2/3 complex, 34 kD subunit p34-Arc"
PF02390,1,Putative methyltransferase
PF17767,1,Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
PF12220,1,U1 small nuclear ribonucleoprotein of 70kDa MW N terminal
PF02840,1,Prp18 domain
PF01176,1,Translation initiation factor 1A / IF-1
PF01661,1,Macro domain
PF09174,1,Maf1 regulator
PF02036,1,SCP-2 sterol transfer family
PF14864,1,Alkyl sulfatase C-terminal
PF06179,1,Surfeit locus protein 5 subunit 22 of Mediator complex
PF03348,1,Serine incorporator (Serinc)
PF14759,1,Reductase C-terminal
PF06283,1,Trehalose utilisation
PF16275,1,Splicing factor 1 helix-hairpin domain
PF13625,1,Helicase conserved C-terminal domain
PF16203,1,ERCC3/RAD25/XPB C-terminal helicase
PF01191,1,"RNA polymerase Rpb5, C-terminal domain"
PF03871,1,"RNA polymerase Rpb5, N-terminal domain"
PF07967,1,C3HC zinc finger-like
PF08600,1,Rsm1-like
PF16979,1,"SAPK-interacting protein 1 (Sin1), Pleckstrin-homology"
PF08547,1,Complex I intermediate-associated protein 30 (CIA30)
PF01323,1,DSBA-like thioredoxin domain
PF05160,1,DSS1/SEM1 family
PF00871,1,Acetokinase family
PF03894,1,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF09363,1,XFP C-terminal domain
PF09364,1,XFP N-terminal domain
PF09440,1,eIF3 subunit 6 N terminal domain
PF19282,1,Exportin-T
PF06741,1,LsmAD domain
PF08171,1,Mad3/BUB1 homology region 2
PF01351,1,Ribonuclease HII
PF03343,1,SART-1 family
PF19252,1,HIND motif
PF04442,1,Cytochrome c oxidase assembly protein CtaG/Cox11
PF08585,1,RecQ mediated genome instability protein
PF14529,1,Endonuclease-reverse transcriptase
PF09341,1,Transcription factor Pcc1
PF01134,1,Glucose inhibited division protein A
PF13932,1,tRNA modifying enzyme MnmG/GidA C-terminal domain
PF08059,1,SEP domain
PF09804,1,DENN domain-containing protein 11
PF01454,1,MAGE homology domain
PF01822,1,WSC domain
PF16922,1,DNA replication complex GINS protein SLD5 C-terminus
PF02128,1,Fungalysin metallopeptidase (M36)
PF07504,1,Fungalysin/Thermolysin Propeptide Motif
PF13869,1,Nucleotide hydrolase
PF02423,1,Ornithine cyclodeaminase/mu-crystallin family
PF13428,1,Tetratricopeptide repeat
PF02464,1,Competence-damaged protein
PF17284,1,Spermidine synthase tetramerisation domain
PF02284,1,Cytochrome c oxidase subunit Va
PF04121,1,Nuclear pore protein 84 / 107
PF00672,1,HAMP domain
PF18947,1,HAMP domain
PF16491,1,"CAAX prenyl protease N-terminal, five membrane helices"
PF12326,1,N-glycosylation protein
PF06738,1,Putative threonine/serine exporter
PF12821,1,"Threonine/Serine exporter, ThrE"
PF12689,1,Acid Phosphatase
PF03619,1,Organic solute transporter Ostalpha
PF08676,1,MutL C terminal dimerisation domain
PF06645,1,Microsomal signal peptidase 12 kDa subunit (SPC12)
